Date,Open,High,Low,Close,Adj Close,Volume
2012-07-23,2426.199951,2449.000000,2400.000000,2412.600098,2367.528076,603
2012-07-24,2382.699951,2418.850098,2381.000000,2398.100098,2353.298584,315
2012-07-25,2400.000000,2412.949951,2295.000000,2321.600098,2278.228027,2297
2012-07-26,2310.100098,2367.000000,2300.000000,2310.800049,2267.629639,644
2012-07-27,2302.000000,2359.899902,2290.000000,2305.000000,2261.937500,503
2012-07-30,2332.000000,2343.000000,2310.000000,2317.699951,2274.400391,492
2012-07-31,2295.000000,2433.899902,2295.000000,2425.050049,2379.744873,1852
2012-08-01,2400.949951,2450.000000,2393.000000,2420.500000,2375.280029,435
2012-08-02,2474.000000,2474.000000,2385.000000,2401.100098,2356.242432,273
2012-08-03,2370.000000,2415.000000,2370.000000,2402.199951,2357.322266,347
2012-08-06,2410.000000,2575.000000,2410.000000,2540.399902,2492.939453,2798
2012-08-07,2545.000000,2580.000000,2501.550049,2542.550049,2495.049561,1140
2012-08-08,2540.000000,2543.949951,2505.699951,2510.800049,2463.893066,371
2012-08-09,2541.050049,2543.500000,2462.250000,2486.000000,2439.555908,170
2012-08-10,2500.000000,2500.000000,2460.100098,2468.300049,2422.187012,70
2012-08-13,2524.899902,2524.899902,2425.649902,2454.100098,2408.252197,448
2012-08-14,2491.949951,2492.000000,2445.000000,2455.600098,2409.724121,106
2012-08-16,2456.100098,2499.000000,2438.000000,2444.500000,2398.831299,214
2012-08-17,2494.000000,2540.000000,2425.000000,2438.899902,2393.336426,254
2012-08-21,2498.000000,2499.949951,2413.000000,2440.149902,2394.562744,284
2012-08-22,2450.000000,2469.949951,2416.250000,2423.100098,2377.831543,399
2012-08-23,2440.000000,2590.000000,2415.000000,2533.100098,2485.776367,1371
2012-08-24,2451.399902,2560.000000,2400.000000,2534.899902,2487.542480,854
2012-08-27,2500.000000,2510.000000,2450.000000,2459.899902,2413.943604,517
2012-08-28,2509.000000,2509.000000,2435.000000,2485.850098,2439.409180,628
2012-08-29,2460.000000,2563.949951,2425.000000,2485.800049,2439.360352,1618
2012-08-30,2460.100098,2483.000000,2425.000000,2443.500000,2397.850586,738
2012-08-31,2486.000000,2510.500000,2420.000000,2476.399902,2430.135498,1215
2012-09-03,2519.949951,2519.949951,2452.250000,2481.000000,2434.649658,146
2012-09-04,2455.149902,2459.899902,2410.000000,2419.100098,2373.906006,1081
2012-09-05,2421.000000,2433.949951,2394.000000,2400.149902,2355.309814,516
2012-09-06,2434.000000,2434.000000,2381.699951,2403.300049,2358.401367,414
2012-09-07,2415.050049,2499.000000,2390.000000,2459.699951,2413.747314,1170
2012-09-08,null,null,null,null,null,null
